person,condition,trial,id,item_class,x,y,trial_p
1,ycup,3,37,2,0.225,0.189,3
1,ycup,3,38,2,0.245,0.175,3
1,ycup,3,39,2,0.245,0.121,3
1,ycup,3,40,2,0.245,0.155,3
1,ycup,3,41,2,0.225,0.135,3
1,ycup,3,42,2,0.28,0.121,3
1,ycup,3,43,2,0.266,0.819,3
1,ycup,3,44,2,0.225,0.795,3
1,ycup,3,45,2,0.211,0.839,3
1,ycup,3,46,2,0.225,0.819,3
1,ycup,3,47,2,0.28,0.805,3
1,ycup,3,48,2,0.225,0.873,3
1,ycup,3,49,2,0.352,0.581,3
1,ycup,3,50,2,0.298,0.596,3
1,ycup,3,51,2,0.298,0.65,3
1,ycup,3,52,2,0.318,0.636,3
1,ycup,3,53,2,0.352,0.616,3
1,ycup,3,54,2,0.352,0.646,3
1,ycup,3,55,2,0.354,0.425,3
1,ycup,3,56,2,0.3,0.35,3
1,ycup,3,57,2,0.32,0.414,3
1,ycup,3,58,2,0.334,0.435,3
1,ycup,3,59,2,0.34,0.374,3
1,ycup,3,60,2,0.3,0.374,3
1,ycup,3,61,2,0.384,0.742,3
1,ycup,3,62,2,0.419,0.803,3
1,ycup,3,63,2,0.439,0.763,3
1,ycup,3,64,2,0.37,0.763,3
1,ycup,3,65,2,0.384,0.718,3
1,ycup,3,66,2,0.404,0.763,3
1,ycup,3,67,2,0.406,0.054,3
1,ycup,3,68,2,0.372,0.034,3
1,ycup,3,69,2,0.406,0,3
1,ycup,3,70,2,0.441,0.064,3
1,ycup,3,71,2,0.406,0.034,3
1,ycup,3,72,2,0.441,0.034,3
1,ycup,3,73,2,0.441,0.205,3
1,ycup,3,74,2,0.441,0.27,3
1,ycup,3,75,2,0.427,0.219,3
1,ycup,3,76,2,0.421,0.28,3
1,ycup,3,77,2,0.386,0.219,3
1,ycup,3,78,2,0.441,0.239,3
1,ycup,3,79,2,0.421,0.99,3
1,ycup,3,80,2,0.386,0.984,3
1,ycup,3,81,2,0.406,0.915,3
1,ycup,3,82,2,0.441,0.95,3
1,ycup,3,83,2,0.386,0.905,3
1,ycup,3,84,2,0.441,0.98,3
1,ycup,3,85,2,0.525,0.414,3
1,ycup,3,86,2,0.511,0.394,3
1,ycup,3,87,2,0.477,0.374,3
1,ycup,3,88,2,0.511,0.374,3
1,ycup,3,89,2,0.491,0.408,3
1,ycup,3,90,2,0.491,0.33,3
1,ycup,3,91,2,0.551,0.664,3
1,ycup,3,92,2,0.531,0.674,3
1,ycup,3,93,2,0.551,0.634,3
1,ycup,3,94,2,0.517,0.654,3
1,ycup,3,95,2,0.551,0.6,3
1,ycup,3,96,2,0.497,0.668,3
1,ycup,3,97,2,0.602,0.111,3
1,ycup,3,98,2,0.602,0.145,3
1,ycup,3,99,2,0.588,0.125,3
1,ycup,3,100,2,0.581,0.185,3
1,ycup,3,101,2,0.547,0.101,3
1,ycup,3,102,2,0.547,0.179,3
1,ycup,3,103,2,0.602,0.815,3
1,ycup,3,104,2,0.588,0.829,3
1,ycup,3,105,2,0.547,0.883,3
1,ycup,3,106,2,0.567,0.869,3
1,ycup,3,107,2,0.547,0.805,3
1,ycup,3,108,2,0.602,0.879,3
1,ycup,3,109,2,0.644,0.529,3
1,ycup,3,110,2,0.59,0.479,3
1,ycup,3,111,2,0.59,0.455,3
1,ycup,3,112,2,0.575,0.499,3
1,ycup,3,113,2,0.61,0.499,3
1,ycup,3,114,2,0.61,0.465,3
1,ycup,3,115,2,0.674,0.694,3
1,ycup,3,116,2,0.742,0.66,3
1,ycup,3,117,2,0.742,0.694,3
1,ycup,3,118,2,0.708,0.694,3
1,ycup,3,119,2,0.742,0.724,3
1,ycup,3,120,2,0.728,0.674,3
1,ycup,3,121,2,0.708,0.266,3
1,ycup,3,122,2,0.674,0.3,3
1,ycup,3,123,2,0.728,0.28,3
1,ycup,3,124,2,0.688,0.256,3
1,ycup,3,125,2,0.688,0.28,3
1,ycup,3,126,2,0.688,0.334,3
1,ycup,3,127,2,0.757,0.109,3
1,ycup,3,128,2,0.777,0.089,3
1,ycup,3,129,2,0.736,0.089,3
1,ycup,3,130,2,0.722,0.109,3
1,ycup,3,131,2,0.791,0.109,3
1,ycup,3,132,2,0.791,0.074,3
1,ycup,3,133,2,0.736,0.92,3
1,ycup,3,134,2,0.771,0.926,3
1,ycup,3,135,2,0.757,0.905,3
1,ycup,3,136,2,0.757,0.885,3
1,ycup,3,137,2,0.791,0.851,3
1,ycup,3,138,2,0.736,0.841,3
1,ycup,3,139,2,0.813,0.477,3
1,ycup,3,140,2,0.793,0.517,3
1,ycup,3,141,2,0.793,0.497,3
1,ycup,3,142,2,0.827,0.463,3
1,ycup,3,143,2,0.773,0.477,3
1,ycup,3,144,2,0.827,0.527,3
1,ycup,4,1,2,0.054,0.497,4
1,ycup,4,2,2,0,0.453,4
1,ycup,4,3,2,0.02,0.463,4
1,ycup,4,4,2,0.02,0.517,4
1,ycup,4,5,2,0.04,0.477,4
1,ycup,4,6,2,0,0.531,4
1,ycup,4,7,2,0.03,0.095,4
1,ycup,4,8,2,0.085,0.115,4
1,ycup,4,9,2,0.03,0.149,4
1,ycup,4,10,2,0.03,0.07,4
1,ycup,4,11,2,0.05,0.08,4
1,ycup,4,12,2,0.085,0.08,4
1,ycup,4,13,2,0.03,0.913,4
1,ycup,4,14,2,0.07,0.859,4
1,ycup,4,15,2,0.05,0.879,4
1,ycup,4,16,2,0.085,0.879,4
1,ycup,4,17,2,0.05,0.899,4
1,ycup,4,18,2,0.03,0.835,4
1,ycup,4,19,2,0.085,0.674,4
1,ycup,4,20,2,0.105,0.66,4
1,ycup,4,21,2,0.139,0.66,4
1,ycup,4,22,2,0.139,0.694,4
1,ycup,4,23,2,0.119,0.734,4
1,ycup,4,24,2,0.105,0.714,4
1,ycup,4,25,2,0.135,0.356,4
1,ycup,4,26,2,0.101,0.336,4
1,ycup,4,27,2,0.135,0.302,4
1,ycup,4,28,2,0.169,0.336,4
1,ycup,4,29,2,0.155,0.316,4
1,ycup,4,30,2,0.135,0.336,4
1,ycup,4,31,2,0.205,0.539,4
1,ycup,4,32,2,0.211,0.479,4
1,ycup,4,33,2,0.225,0.529,4
1,ycup,4,34,2,0.157,0.499,4
1,ycup,4,35,2,0.225,0.499,4
1,ycup,4,36,2,0.171,0.455,4
1,ycup,4,37,2,0.225,0.189,4
1,ycup,4,38,2,0.245,0.175,4
1,ycup,4,39,2,0.245,0.121,4
1,ycup,4,40,2,0.245,0.155,4
1,ycup,4,41,2,0.225,0.135,4
1,ycup,4,42,2,0.28,0.121,4
1,ycup,4,43,2,0.266,0.819,4
1,ycup,4,44,2,0.225,0.795,4
1,ycup,4,45,2,0.211,0.839,4
1,ycup,4,46,2,0.225,0.819,4
1,ycup,4,47,2,0.28,0.805,4
1,ycup,4,48,2,0.225,0.873,4
1,ycup,4,49,2,0.352,0.581,4
1,ycup,4,50,2,0.318,0.616,4
1,ycup,4,51,2,0.352,0.646,4
1,ycup,4,52,2,0.352,0.616,4
1,ycup,4,53,2,0.298,0.596,4
1,ycup,4,54,2,0.318,0.636,4
1,ycup,4,55,2,0.354,0.425,4
1,ycup,4,56,2,0.3,0.35,4
1,ycup,4,57,2,0.32,0.414,4
1,ycup,4,58,2,0.334,0.435,4
1,ycup,4,59,2,0.34,0.374,4
1,ycup,4,60,2,0.3,0.374,4
1,ycup,4,61,2,0.384,0.742,4
1,ycup,4,62,2,0.419,0.803,4
1,ycup,4,63,2,0.439,0.763,4
1,ycup,4,64,2,0.37,0.763,4
1,ycup,4,65,2,0.384,0.718,4
1,ycup,4,66,2,0.404,0.763,4
1,ycup,4,67,2,0.406,0.054,4
1,ycup,4,68,2,0.372,0.034,4
1,ycup,4,69,2,0.406,0,4
1,ycup,4,70,2,0.441,0.064,4
1,ycup,4,71,2,0.406,0.034,4
1,ycup,4,72,2,0.441,0.034,4
1,ycup,4,73,2,0.441,0.239,4
1,ycup,4,74,2,0.441,0.27,4
1,ycup,4,75,2,0.441,0.205,4
1,ycup,4,76,2,0.386,0.219,4
1,ycup,4,77,2,0.427,0.219,4
1,ycup,4,78,2,0.421,0.28,4
1,ycup,4,79,2,0.421,0.99,4
1,ycup,4,80,2,0.386,0.984,4
1,ycup,4,81,2,0.406,0.915,4
