person,condition,trial,id,found,item_class,x,y,trial_p
1,conj_rot,9,9,16,2,0.539,0.362,3
1,conj_rot,9,5,17,2,0.861,0.504,3
1,conj_rot,9,4,18,2,0.708,0.357,3
1,conj_rot,9,2,19,2,0.682,0.206,3
1,conj_rot,9,7,20,2,0.385,0.201,3
1,conj_rot,9,6,21,2,0.319,0.091,3
1,conj_rot,9,1,22,2,0.495,0,3
1,conj_rot,9,16,23,2,0.145,0.275,3
1,conj_rot,9,12,24,2,0.29,0.283,3
1,conj_rot,10,23,1,1,0.466,0.707,4
1,conj_rot,10,20,2,1,0.641,0.685,4
1,conj_rot,10,15,3,1,0.722,0.645,4
1,conj_rot,10,22,4,1,0.217,0.48,4
1,conj_rot,10,10,5,1,0.783,0.536,4
1,conj_rot,10,24,6,1,0,0.393,4
1,conj_rot,10,16,7,1,0.21,0.317,4
1,conj_rot,10,13,8,1,0.382,0.303,4
1,conj_rot,10,8,9,1,0.454,0.233,4
1,conj_rot,10,12,10,1,0.288,0.257,4
1,conj_rot,10,5,11,1,0.445,0.062,4
1,conj_rot,10,4,12,1,0.38,0.02,4
1,conj_rot,10,18,13,2,0.407,0.519,4
1,conj_rot,10,19,14,2,0.543,0.626,4
1,conj_rot,10,14,15,2,0.641,0.522,4
1,conj_rot,10,17,16,2,0.33,0.381,4
1,conj_rot,10,21,17,2,0.078,0.319,4
1,conj_rot,10,11,18,2,0.239,0.183,4
1,conj_rot,10,9,19,2,0.585,0.356,4
1,conj_rot,10,3,20,2,0.935,0.354,4
1,conj_rot,10,7,21,2,0.619,0.248,4
1,conj_rot,10,6,22,2,0.566,0.158,4
1,conj_rot,10,2,23,2,0.626,0.088,4
1,conj_rot,10,1,24,2,0.56,0,4
1,conj_rot,11,16,1,1,0.561,0.82,5
1,conj_rot,11,20,2,1,0.212,0.66,5
1,conj_rot,11,15,3,1,0.298,0.585,5
1,conj_rot,11,18,4,1,0.081,0.497,5
1,conj_rot,11,17,5,1,0,0.429,5
1,conj_rot,11,13,6,1,0.399,0.472,5
1,conj_rot,11,9,7,1,0.595,0.51,5
1,conj_rot,11,10,8,1,0.641,0.555,5
1,conj_rot,11,7,9,1,0.637,0.443,5
1,conj_rot,11,6,10,1,0.571,0.378,5
1,conj_rot,11,5,11,1,0.394,0.186,5
1,conj_rot,11,4,12,1,0.347,0.119,5
1,conj_rot,11,24,13,2,0.293,0.87,5
1,conj_rot,11,21,14,2,0.388,0.786,5
1,conj_rot,11,23,15,2,0.084,0.687,5
1,conj_rot,11,14,16,2,0.506,0.643,5
1,conj_rot,11,11,17,2,0.685,0.651,5
1,conj_rot,11,22,18,2,0.022,0.557,5
1,conj_rot,11,19,19,2,0.144,0.576,5
